,0
195,3.12E-05
217,3.12E-05
222,3.12E-05
325,3.12E-05
376,3.12E-05
627,3.12E-05
788,3.12E-05
825,3.12E-05
887,3.12E-05
926,3.12E-05
991,3.12E-05
997,3.12E-05
1138,3.12E-05
390,0.000351255
869,0.000351255
895,0.000351255
83,3.35E-73
144,3.35E-73
145,3.35E-73
226,3.35E-73
275,3.35E-73
285,3.35E-73
456,3.35E-73
577,3.35E-73
590,3.35E-73
674,3.35E-73
711,3.35E-73
736,3.35E-73
754,3.35E-73
907,3.35E-73
978,3.35E-73
1072,3.35E-73
1087,3.35E-73
1126,3.35E-73
1144,3.35E-73
1173,3.35E-73
1182,3.35E-73
647,0.000340324
669,0.000340324
968,0.000340324
988,0.000340324
1029,0.000340324
1195,0.000340324
1220,0.000340324
18,2.68E-06
24,2.68E-06
29,2.68E-06
30,2.68E-06
130,2.68E-06
338,2.68E-06
392,2.68E-06
475,2.68E-06
503,2.68E-06
504,2.68E-06
512,2.68E-06
541,2.68E-06
633,2.68E-06
726,2.68E-06
811,2.68E-06
860,2.68E-06
1018,2.68E-06
1047,2.68E-06
1050,2.68E-06
1062,2.68E-06
1082,2.68E-06
1132,2.68E-06
1154,2.68E-06
1170,2.68E-06
1175,2.68E-06
1211,2.68E-06
1214,2.68E-06
165,8.47E-06
365,8.47E-06
553,8.47E-06
770,8.47E-06
1048,8.47E-06
4,0.000140164
44,0.000500167
278,0.000500167
496,0.000500167
796,0.000500167
938,0.000500167
200,3.91E-05
487,3.91E-05
685,3.91E-05
777,3.91E-05
956,3.91E-05
1104,3.91E-05
288,5.25E-07
542,5.25E-07
760,5.25E-07
1068,5.25E-07
1102,5.25E-07
1200,5.25E-07
453,0.000381764
706,0.000381764
1053,0.000381764
1095,0.000381764
596,0.000518384
630,5.10E-05
443,1.87E-73
1027,1.87E-73
10,0.000560489
214,0.000560489
354,0.000560489
749,0.000560489
1004,0.000560489
1056,0.000560489
34,0.000362116
92,0.000362116
115,0.000362116
416,0.000362116
1024,0.000362116
